Date,Android,Windows,Series 40,SymbianOS,Samsung,iOS,Linux,OS X,Sony Ericsson,KaiOS,Tizen,bada,BlackBerry OS,LG,Firefox OS,MeeGo,Chrome OS
2009-01,0,96.42,0,1.6,0,0.04,0.95,0.39,0,0,0,0,0,0,0,0,0
2009-02,0,96.05,0,1.73,0,0.05,1.02,0.39,0,0,0,0,0,0,0,0,0
2009-03,0,95.8,0,1.88,0,0.05,0.98,0.39,0,0,0,0,0,0,0,0,0
2009-04,0,96.08,0,1.82,0,0.05,0.95,0.41,0,0,0,0,0,0,0,0,0
2009-05,0,95.82,0,2.2,0,0.05,0.87,0.4,0,0,0,0,0,0,0,0,0
2009-06,0,95.61,0,2.22,0,0.05,0.88,0.44,0,0,0,0,0,0,0,0,0
2009-07,0,95.38,0,1.25,0.02,0.05,0.88,0.47,0.1,0,0,0,0,0,0,0,0
2009-08,0,95.2,0,2.38,0.07,0.06,0.92,0.51,0.43,0,0,0,0,0,0,0,0
2009-09,0,95.14,0,2.37,0.08,0.05,0.97,0.55,0.38,0,0,0,0,0,0,0,0
2009-10,0,94.71,0,2.72,0.09,0.05,1.07,0.57,0.41,0,0,0,0,0.01,0,0,0
2009-11,0,94.77,0,2.66,0.1,0.05,1.03,0.57,0.42,0,0,0,0,0.01,0,0,0
2009-12,0,94.2,0,3.01,0.12,0.06,1.03,0.58,0.49,0,0,0,0,0.01,0,0,0
2010-01,0,93,0,3.96,0.18,0.07,0.96,0.62,0.61,0,0,0,0.01,0.01,0,0,0
2010-02,0.01,92.34,0,4.47,0.2,0.07,1.05,0.65,0.66,0,0,0,0.01,0.01,0,0,0
2010-03,0.01,90.89,0,5.65,0.25,0.08,1.07,0.67,0.64,0,0,0,0.01,0.02,0,0,0
2010-04,0.01,89.75,0,6.46,0.38,0.08,1.01,0.65,0.71,0,0,0,0.01,0.02,0,0,0
2010-05,0.01,88.47,0,7.36,0.66,0.09,0.96,0.62,0.76,0,0,0,0.02,0.01,0,0,0
2010-06,0.02,85.47,0,9.52,1.04,0.09,0.98,0.59,0.9,0,0,0,0.02,0.02,0,0,0
2010-07,0.03,85.64,0,9.28,0.98,0.11,1.04,0.65,0.81,0,0,0,0.02,0.04,0,0,0
2010-08,0.05,84.61,0,9.9,1.09,0.13,1.05,0.68,0.82,0,0,0,0.02,0.04,0,0,0
2010-09,0.07,83.03,0,10.97,1.33,0.14,1.05,0.7,0.84,0,0,0,0.02,0.05,0,0,0
2010-10,0.1,83.12,0,10.93,1.43,0.15,1.07,0.72,0.84,0,0,0,0.02,0.05,0,0,0
2010-11,0.15,81.39,0,12.14,1.76,0.17,1.03,0.73,0.89,0,0,0,0.03,0.05,0,0,0
2010-12,0.19,82.76,0,11.08,1.44,0.19,1.04,0.76,0.79,0,0,0,0.03,0.04,0,0,0
2011-01,0.24,79.38,0,13.44,1.99,0.2,1.01,0.76,0.9,0,0,0,0.03,0.05,0,0,0
2011-02,0.29,78.15,0,14.26,2.22,0.21,1.03,0.77,0.91,0,0,0,0.04,0.05,0,0,0
2011-03,0.35,76.46,0,15.5,2.51,0.23,1,0.75,0.98,0,0,0,0.04,0.05,0,0,0
2011-04,0.44,73.79,0,17.29,3.05,0.24,0.92,0.71,1.05,0,0,0.06,0.05,0.06,0,0,0
2011-05,0.54,72.59,0,17.79,3.4,0.26,0.89,0.69,1,0,0,0.2,0.05,0.05,0,0,0
2011-06,0.65,67.11,0,21.75,4.27,0.27,0.84,0.64,1.08,0,0,0.26,0.05,0.06,0,0,0
2011-07,0.74,66.11,0,22.22,4.7,0.3,0.88,0.66,1.09,0,0,0.28,0.05,0.06,0,0,0
2011-08,0.88,64.28,0,23.26,5.22,0.34,0.88,0.68,1.1,0,0,0.34,0.06,0.06,0,0,0
2011-09,0.98,64.03,0,23.28,5.05,0.37,0.97,0.68,1.01,0,0,0.37,0.06,0.06,0,0,0
2011-10,1.2,62.94,0,23.12,5.24,0.41,0.96,0.7,0.98,0,0,0.41,0.07,0.06,0,0,0
2011-11,1.49,60.83,0,24.69,5.78,0.43,0.96,0.67,1.02,0,0,0.47,0.08,0.06,0,0,0
2011-12,1.76,58.13,0,26.52,6.29,0.46,0.93,0.63,1.06,0,0,0.48,0.09,0.06,0,0,0
2012-01,2.18,55.96,0,27.5,7.02,0.51,0.87,0.64,1.01,0,0,0.52,0.1,0.06,0,0,0
2012-02,2.58,58.47,0,25.38,6.16,0.57,0.94,0.66,0.9,0,0,0.55,0.1,0.05,0,0,0
2012-03,2.66,59.2,0,24.4,6.6,0.51,0.8,0.58,0.85,0,0,0.63,0.11,0.06,0,0,0
2012-04,3.24,52.65,2.7,25.47,8.36,0.56,0.7,0.57,0.99,0,0,0.77,0.13,0.07,0,0,0
2012-05,3.98,49.76,11.81,17.51,9.11,0.6,0.62,0.58,0.97,0,0,0.87,0.13,0.07,0,0,0
2012-06,4.71,49.86,13.78,14.7,9.28,0.64,0.63,0.58,0.89,0,0,0.85,0.13,0.06,0,0,0
2012-07,5.44,48.77,15.82,12.1,9.44,0.7,0.65,0.6,0.85,0,0,0.87,0.13,0.06,0,0,0
2012-08,6.03,47.34,16.69,11.31,9.68,0.75,0.64,0.62,0.8,0,0,0.89,0.14,0.05,0,0,0
2012-09,6.42,46.39,17.26,10.83,10.13,0.78,0.62,0.62,0.75,0,0,0.88,0.16,0.05,0,0,0
2012-10,6.88,45.84,17.41,10.66,10.3,0.77,0.6,0.59,0.74,0,0,0.84,0.16,0.05,0,0,0
2012-11,7.73,42.96,18.85,10.52,10.78,0.81,0.57,0.57,0.71,0,0,0.77,0.16,0.05,0,0,0
2012-12,8.57,40.32,19.52,10.92,11.35,0.82,0.54,0.55,0.74,0,0,0.77,0.17,0.05,0,0,0
2013-01,8.93,43.65,18.69,9.81,9.82,0.94,0.63,0.64,0.67,0,0,0.64,0.17,0.04,0,0,0
2013-02,9.28,45,18.02,9.11,9.51,1.05,0.64,0.62,0.63,0,0,0.58,0.17,0.04,0,0,0
2013-03,10.46,44.19,17.96,8.93,9.34,1.1,0.6,0.62,0.61,0,0,0.57,0.17,0.03,0,0,0
2013-04,12.2,42.93,17.84,8.68,9.14,1.1,0.63,0.65,0.59,0,0,0.55,0.17,0.04,0,0,0
2013-05,11.81,42.52,17.96,8.65,9.23,1.1,0.7,0.76,0.57,0,0,0.51,0.17,0.03,0,0,0
2013-06,13.23,40.12,18.64,8.64,9.26,1.08,0.7,0.75,0.54,0,0,0.51,0.17,0.03,0,0,0
2013-07,14.35,39.35,19.73,7.18,8.99,1.13,2.61,0.69,0.51,0,0,0.48,0.17,0.29,0,0,0
2013-08,15.65,37.35,19.99,7.14,9,1.13,3.3,0.6,0.48,0,0,0.46,0.18,0.3,0,0,0
2013-09,16.4,36.69,19.53,7.14,9.36,1.08,3.5,0.56,0.46,0,0,0.44,0.19,0.3,0,0,0
2013-10,17.37,36.24,18.62,6.9,9.42,1.05,3.69,0.52,0.44,0,0,0.38,0.21,0.31,0,0,0
2013-11,20.18,34.58,18.46,5.95,9.29,1.09,2.57,0.51,0.45,0,0,0.38,0.19,0.31,0,0,0
2013-12,23.43,32.04,18.01,5.5,9.13,1.21,1.93,0.49,0.43,0,0,0.41,0.19,0.3,0,0,0
2014-01,24.17,32.55,17.21,5.21,9.08,1.29,1.55,0.52,0.42,0,0,0.41,0.2,0.29,0,0,0
2014-02,24.54,33.78,16.51,4.95,8.71,1.3,1.37,0.52,0.41,0,0,0.39,0.19,0.27,0,0,0
2014-03,26.48,31.55,16.4,4.91,8.57,1.28,1.53,0.51,0.43,0,0,0.36,0.19,0.26,0,0,0
2014-04,26.78,31.19,16.08,4.71,8.81,1.31,1.46,0.55,0.43,0,0,0.35,0.19,0.26,0,0,0
2014-05,28.31,29.95,16.15,4.49,8.33,1.32,1.54,0.55,0.41,0,0,0.32,0.19,0.25,0,0,0
2014-06,30.49,30.6,14.56,4.16,7.36,1.35,1.6,0.56,0.37,0,0,0.31,0.21,0.23,0,0,0.01
2014-07,31.46,29.88,14.15,4.03,7.22,1.36,1.7,0.54,0.36,0,0,0.29,0.22,0.22,0,0,0
2014-08,33.78,28.07,13.53,3.9,7.19,1.41,1.74,0.52,0.37,0,0,0.28,0.23,0.22,0,0,0
2014-09,34.93,29.04,13.46,3.55,6.86,1.37,1.39,0.54,0.37,0,0,0.28,0.22,0.21,0,0,0.01
2014-10,36.41,28.16,13.26,3.45,6.4,1.32,1.39,0.52,0.34,0,0,0.25,0.21,0.21,0,0,0.01
2014-11,38.44,27.44,12.34,3.25,5.85,1.35,1.39,0.53,0.34,0,0,0.24,0.22,0.19,0,0,0.01
2014-12,39.06,26.41,12.24,3.11,5.69,1.38,0.87,0.54,0.3,0,0,0.23,0.22,0.18,0,0.01,0.01
2015-01,39.81,27.97,10.97,2.66,4.82,1.44,0.61,0.56,0.29,0,0.02,0.2,0.22,0.15,0,0.05,0.01
2015-02,39.43,30.34,9.79,2.39,4.44,1.46,0.68,0.59,0.3,0,0.08,0.18,0.21,0.14,0,0.06,0.01
2015-03,42.4,28.68,9.02,2.09,3.83,1.5,0.66,0.61,0.27,0,0.11,0.16,0.21,0.13,0,0.07,0.01
2015-04,41.72,30.35,8.58,1.95,3.36,1.46,0.72,0.6,0.25,0,0.13,0.14,0.19,0.13,0,0.08,0.01
2015-05,40.7,32.57,7.85,1.91,2.99,1.4,0.86,0.59,0.24,0,0.14,0.13,0.17,0.11,0,0.08,0.01
2015-06,41.48,32.28,6.86,1.77,2.81,1.42,0.88,0.64,0.22,0,0.15,0.11,0.17,0.1,0,0.1,0.01
2015-07,40.73,33.62,6.21,1.59,2.59,1.5,1.02,0.61,0.2,0,0.16,0.1,0.17,0.1,0,0.11,0.01
2015-08,43.66,31.52,5.51,1.45,2.43,1.5,1.04,0.6,0.18,0,0.16,0.09,0.17,0.09,0,0.12,0.01
2015-09,43.7,32.05,4.92,1.3,2.33,1.36,1.08,0.63,0.17,0,0.15,0.09,0.15,0.09,0,0.12,0.01
2015-10,43.82,31.02,4.79,1.27,2.28,1.32,1.09,0.65,0.16,0,0.12,0.08,0.14,0.09,0,0.12,0.01
2015-11,42.61,30.76,5.11,1.28,2.29,1.47,1,0.72,0.18,0,0.15,0.08,0.14,0.09,0,0.12,0.02
2015-12,43.05,31.81,4.47,1.11,1.97,1.53,0.96,0.73,0.14,0,0.16,0.07,0.14,0.08,0,0.14,0.02
2016-01,44.33,30.69,4.21,1.04,1.87,1.62,0.97,0.73,0.14,0,0.2,0.06,0.15,0.08,0,0.14,0.02
2016-02,45.61,29.68,3.92,0.99,1.83,1.69,1.01,0.73,0.15,0,0.24,0.06,0.13,0.08,0,0.14,0.02
2016-03,48.44,27.61,3.76,0.95,1.83,1.8,0.97,0.69,0.15,0,0.26,0.06,0.12,0.07,0,0.14,0.01
2016-04,49.04,27.07,3.49,0.9,1.81,1.88,0.92,0.71,0.14,0,0.28,0.06,0.13,0.07,0,0.15,0.02
2016-05,53.94,21.88,3.43,0.89,1.9,2.01,0.78,0.65,0.16,0,0.33,0.05,0.14,0.07,0,0.15,0.02
2016-06,48.44,27.16,3.14,0.72,2.06,2.33,0.91,0.85,0.19,0,0.38,0.06,0.16,0.06,0,0.15,0.03
2016-07,49.22,25.42,3.08,0.76,1.96,2.48,0.82,0.76,0.18,0,0.38,0.05,0.15,0.06,0,0.14,0.02
2016-08,48.15,24.95,2.98,0.83,1.83,2.39,0.96,0.77,0.18,0,0.38,0.04,0.14,0.07,0,0.13,0.02
2016-09,53.26,21.47,2.55,0.69,1.75,2.24,0.85,0.72,0.16,0,0.41,0.04,0.11,0.06,0,0.12,0.02
2016-10,59.35,18.13,1.65,0.48,1.36,2.11,0.67,0.61,0.14,0,0.48,0.03,0.09,0.05,0,0.11,0.02
2016-11,61.82,18.08,1.5,0.44,1.25,1.97,0.65,0.63,0.14,0,0.58,0.03,0.09,0.05,0,0.1,0.02
2016-12,61.24,19.34,1.41,0.4,1.19,2.07,0.63,0.61,0.12,0,0.66,0.03,0.09,0.05,0,0.09,0.02
2017-01,61.08,19.64,1.42,0.39,1.2,2.05,0.66,0.63,0.1,0,0.72,0.02,0.09,0.04,0,0.09,0.02
2017-02,61.97,19.4,1.21,0.34,1.01,2.12,0.67,0.67,0.06,0,0.8,0.02,0.08,0.04,0,0.09,0.02
2017-03,61.78,18.74,1.11,0.34,0.95,2.27,0.61,0.64,0.07,0,0.79,0.02,0.08,0.05,0,0.08,0.01
2017-04,62.61,18.5,0.97,0.33,0.76,2.4,0.53,0.66,0.05,0,0.7,0.02,0.07,0.05,0,0.08,0.01
2017-05,64.18,17.28,0.9,0.31,0.73,2.36,0.52,0.66,0.04,0,0.68,0.02,0.07,0.04,0,0.08,0.02
2017-06,64.31,17.25,0.85,0.28,0.69,2.35,0.5,0.67,0.04,0,0.71,0.01,0.06,0.04,0,0.07,0.02
2017-07,64.08,17.78,0.75,0.27,0.65,2.32,0.55,0.71,0.03,0,0.7,0.01,0.06,0.04,0,0.07,0.01
2017-08,64.03,18.8,0.67,0.24,0.62,2.5,0.53,0.82,0.03,0,0.66,0.01,0.05,0.03,0,0.07,0.02
2017-09,62.39,20.07,0.7,0.24,0.64,2.65,0.45,0.9,0.03,0,0.68,0.01,0.05,0.03,0,0.06,0.02
2017-10,63.28,19.28,0.76,0.24,0.68,2.96,0.41,0.88,0.05,0,0.64,0.01,0.05,0.03,0.25,0.05,0.02
2017-11,64.89,19.27,0.81,0.26,0.68,2.81,0.4,0.9,0.05,0,0.6,0.01,0.05,0.03,1,0.05,0.02
2017-12,65.86,18.35,0.97,0.29,0.73,2.71,0.36,0.83,0.06,0,0.63,0.01,0.05,0.03,1.38,0.05,0.02
2018-01,66.02,18.97,0.92,0.28,0.73,2.58,0.39,0.84,0.06,0,0.59,0.01,0.04,0.02,1.5,0.05,0.02
2018-02,67.22,19.09,0.57,0.25,0.56,2.63,0.4,0.89,0.02,0,0.47,0.01,0.04,0.02,1.34,0.04,0.02
2018-03,67.62,18.79,0.5,0.22,0.51,2.78,0.46,0.9,0.02,0.08,0.44,0.01,0.04,0.02,0.38,0.04,0.02
2018-04,69.15,17.83,0.53,0.22,0.55,2.39,0.81,0.95,0.02,0.1,0.45,0.01,0.03,0.02,0,0.04,0.03
2018-05,71.54,16.96,0.43,0.17,0.51,2.28,0.74,0.94,0.02,0.09,0.39,0,0.03,0.02,0,0.03,0.02
2018-06,70.4,18.44,0.41,0.13,0.49,2.43,0.78,0.99,0.02,0.06,0.38,0,0.03,0.02,0,0.02,0.02
2018-07,71.17,18.7,0.35,0.11,0.46,2.38,0.78,1.02,0.02,0.05,0.35,0,0.03,0.01,0,0.02,0.02
2018-08,72.02,18.8,0.31,0.09,0.46,2.54,0.82,1.06,0.01,0.06,0.34,0,0.02,0.01,0,0.01,0.01
2018-09,71.74,18.62,0.26,0.08,0.41,2.47,0.86,1.04,0.01,1.89,0.32,0,0.02,0,0,0.01,0.01
2018-10,68.38,19.58,0.25,0.08,0.44,2.41,0.96,1.14,0.01,3.15,0.3,0,0.02,0,0,0.01,0.01
2018-11,68.55,16.61,0.25,0.07,0.41,2.35,0.84,0.99,0.01,3.3,0.3,0,0.01,0,0,0.01,0.01
2018-12,70.22,17.74,0.25,0.06,0.4,2.18,0.85,1.02,0.01,3.52,0.28,0,0.01,0,0,0,0.05
2019-01,68.65,18.5,0.25,0.07,0.43,2.23,1.02,1.07,0.01,3.8,0.27,0,0.01,0,0,0,0.01
2019-02,67.22,20.01,0.25,0.06,0.42,2.23,1.15,1.21,0.02,3.25,0.24,0,0.01,0,0,0,0.01
2019-03,67.05,22.26,0.22,0.07,0.44,2.23,1.32,1.43,0.01,3.19,0.21,0,0.01,0,0,0,0.01
2019-04,65.49,23.53,0.17,0.06,0.35,2.21,1.41,1.66,0.01,3.05,0.23,0,0.01,0,0,0,0.01
2019-05,65.88,22.86,0.16,0.05,0.32,2.16,1.43,1.61,0.01,3,0.23,0,0.01,0,0,0,0.01
