SUBDIVISION,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PUNJAB,523.5,398.0,571.0,451.5,434.3,677.5,589.2,740.4,846.1,616.3,505.6,536.4,561.2,794.4,421.7,588.4,1126.7,339.6,549.9,383.1,370.4,513.6,737.9,590.8,629.6,607.3,481.0,437.1,423.0,557.2,588.6,490.3,860.6,429.2,598.2,626.4,571.1,430.9,403.7,532.2,506.3,871.6,422.3,626.9,805.3,478.1,600.9,620.2,584.9,992.0,499.5,565.9,611.5,633.2,973.9,750.4,710.5,828.0,699.8,606.9,690.1,769.3,476.2,708.8,423.2,638.2,680.4,536.2,494.8,650.6,748.0,470.9,743.1,356.2,705.9,794.7,712.6,720.6,464.0,661.7,503.7,571.3,751.1,710.5,752.9,611.9,409.6,1222.6,480.3,754.7,475.9,478.2,583.1,580.9,869.1,589.7,690.1,588.6,364.4,405.3,441.0,274.7,424.6,351.7,552.0,647.7,594.8,717.1,361.2,451.5,705.2,493.6,586.6,382.7,510.8
WEST UTTAR PRADESH,775.9,736.6,808.4,945.2,433.5,978.7,589.5,866.3,903.0,875.9,751.6,804.5,495.3,887.5,802.5,1114.2,1120.2,371.9,969.1,622.8,992.3,1000.8,902.3,1064.1,943.8,917.0,934.2,644.6,650.1,788.1,930.8,706.0,1035.3,897.7,784.6,1218.4,676.7,730.4,721.1,783.9,516.4,1088.2,850.4,770.3,966.0,896.6,809.2,1028.1,906.7,834.0,728.9,875.3,761.8,879.3,1060.9,1064.4,1005.2,1165.3,768.3,1129.8,1198.3,798.2,929.7,1002.0,673.5,756.0,1157.2,693.3,878.1,863.8,1003.1,585.1,805.9,668.9,989.5,653.2,994.3,1244.2,558.0,984.7,739.6,969.1,1191.7,781.3,957.2,715.2,466.8,1035.6,657.3,958.0,748.7,820.6,771.9,806.8,826.8,941.2,445.2,867.2,786.4,771.4,661.7,625.2,1047.5,642.3,725.7,529.3,572.5,799.8,549.2,820.7,777.4,389.6,932.8,486.9,582.7
LAKSHADWEEP,1459.2,2158.8,0.0,1176.9,1574.9,1811.6,1458.8,1959.1,1463.5,1849.2,1687.7,1654.9,1518.5,2034.0,1545.5,1398.5,0.0,0.0,1926.5,0.0,0.0,1928.5,1572.2,1972.0,1676.9,1836.2,0.0,0.0,0.0,1258.4,0.0,1893.7,2314.1,1087.9,1529.2,1744.1,1443.6,1547.6,1207.3,1406.7,1163.4,1786.2,0.0,1668.1,1321.3,0.0,1755.9,1325.3,0.0,1494.1,1715.3,1124.5,1606.2,1555.5,1548.3,1287.4,1347.2,992.6,1583.6,1901.8,2235.3,1586.6,1902.1,1651.7,1405.9,1741.5,1287.3,1344.4,1416.1,1783.0,1901.4,1287.6,1557.4,1511.3,1890.5,1502.1,1848.2,1967.4,1825.4,1211.7,1617.4,1392.0,1403.2,1591.6,1303.4,1465.9,1288.6,1450.8,1714.4,1310.5,1583.0,1534.9,1449.7,1547.1,2030.9,1606.0,1764.7,1986.9,1857.3,1372.1,1380.6,1033.5,1532.9,1553.2,1575.4,1598.6,2361.6,1726.8,1570.1,1725.2,1533.7,1405.5,1426.3,1395.0,1642.9
SOUTH INTERIOR KARNATAKA,1003.0,1020.1,1269.9,845.8,759.4,1004.5,998.5,790.2,1087.4,1157.3,906.3,1150.2,876.4,926.7,1031.9,1230.7,1094.3,733.3,1011.4,828.9,986.1,897.1,990.5,1127.0,982.2,897.0,863.7,950.5,1034.9,993.3,1012.6,1270.1,1329.2,786.3,954.5,958.4,911.2,871.4,1024.6,1180.0,937.6,932.9,1137.1,1025.7,792.3,1245.0,958.3,1074.1,876.4,956.5,925.3,871.8,1255.9,1031.1,1002.0,1243.7,1064.7,1210.0,1280.9,989.9,1409.5,1307.2,992.8,1169.4,735.2,1010.9,940.3,1001.0,1106.5,1073.8,1020.2,1064.0,1086.6,1051.5,1334.3,761.2,1207.8,1231.6,1120.8,1225.0,1184.6,1003.5,1111.2,1063.9,859.3,1030.2,934.7,1022.2,913.5,848.5,1221.2,1201.0,1038.1,1157.8,883.2,1044.0,1180.0,1113.3,1149.6,1207.2,926.3,755.8,762.8,1133.4,1319.3,1030.5,1231.0,1140.6,1158.4,1239.7,1087.4,877.8,1110.7,1184.2,1112.5
RAYALSEEMA,714.0,818.4,1138.2,433.4,703.4,912.6,640.4,617.1,870.6,1001.1,590.6,745.5,616.3,678.3,923.1,1047.0,933.1,645.8,890.5,674.8,743.6,770.3,515.8,684.3,865.5,682.6,682.0,711.3,696.6,995.5,719.2,635.8,678.2,611.5,782.3,695.6,775.4,674.4,798.2,904.6,653.5,536.9,1036.5,917.4,604.1,953.7,624.3,608.9,826.5,510.9,538.4,701.2,795.7,785.4,816.4,931.0,571.7,808.4,635.8,744.0,651.5,816.3,709.1,791.6,595.9,904.1,737.6,623.9,842.4,776.4,621.1,826.0,689.5,728.5,1041.6,817.0,866.6,869.3,813.4,573.7,785.2,595.6,943.0,733.0,685.8,580.9,769.5,842.3,693.7,930.7,967.5,596.0,887.1,690.5,874.3,1277.7,835.0,948.1,537.2,871.3,924.5,615.2,725.5,741.7,1066.4,638.1,980.6,798.0,688.2,963.5,738.0,715.0,762.6,551.8,1047.1
TELANGANA,827.7,630.4,1283.4,526.7,724.9,855.2,843.7,982.8,769.5,975.9,662.0,743.8,732.2,1083.5,1022.0,1162.6,1206.0,554.7,894.6,437.0,1003.3,767.5,786.2,944.5,1167.9,763.5,1005.5,1006.4,790.5,835.8,1183.1,949.9,1396.3,927.9,898.5,1157.0,866.1,1175.3,740.0,1082.6,594.4,906.9,899.3,960.5,1027.4,822.8,1005.5,915.0,1038.6,761.3,900.8,729.7,1272.1,928.4,1203.2,1120.5,983.2,1113.9,1224.1,839.5,1146.5,1138.7,1010.1,887.5,778.9,970.9,942.1,748.7,1047.1,970.3,729.1,670.7,1042.5,830.4,1215.8,1035.6,808.6,1311.7,791.7,922.6,1143.5,933.2,1497.5,742.8,785.9,1007.3,976.9,1544.9,1161.0,1425.7,849.1,863.5,885.6,975.7,1286.0,986.8,856.0,1093.0,863.8,1078.0,922.3,765.3,963.2,667.0,1163.1,1053.0,843.3,1035.3,666.3,1276.4,753.1,1008.6,1348.7,746.4,857.3
EAST MADHYA PRADESH,1332.7,984.2,1178.1,1144.2,886.0,1369.7,1009.6,1430.6,1122.0,1222.2,1197.1,1150.6,936.4,1250.1,1382.3,1480.2,1639.3,930.5,1747.1,899.5,1132.1,1238.0,1443.9,1315.3,1354.5,1726.8,1235.9,1106.9,1247.4,1203.9,1342.2,1150.9,1368.4,1473.3,1279.9,1504.2,1398.0,1373.8,1347.2,1192.8,828.1,1508.4,1382.4,1427.0,1286.3,1494.3,1419.5,1430.4,1235.5,1177.9,1175.6,1155.3,1007.1,1076.7,1421.0,1515.8,1000.8,1171.6,1302.4,1252.0,1598.8,1068.4,1120.1,1187.3,697.8,849.1,1407.8,973.6,1242.1,1342.2,1518.7,1038.3,1252.3,971.1,1434.5,1055.6,1372.2,1392.6,809.8,1369.2,1036.0,1297.3,1275.5,1110.6,1115.4,1029.2,1116.1,1069.4,920.9,1380.0,1016.9,1051.1,1118.9,1533.7,1032.3,986.6,1357.1,1013.4,1443.9,874.2,1170.1,950.2,1438.1,955.3,1366.4,943.4,653.8,1003.2,943.9,960.4,1275.2,1053.1,1521.9,924.9,939.2
NORTH INTERIOR KARNATAKA,773.0,716.1,928.5,578.6,506.2,783.8,746.7,595.1,675.8,759.4,510.0,758.7,572.3,824.8,753.3,1087.9,823.8,528.0,727.1,470.3,582.8,509.0,602.8,591.2,642.6,581.0,680.8,768.5,598.0,632.7,719.2,808.8,947.3,591.2,714.9,564.7,552.4,815.1,653.9,736.8,535.7,585.7,879.2,722.1,544.0,808.9,786.3,778.3,763.3,706.5,708.4,628.5,891.2,683.3,967.1,1039.0,837.8,752.0,698.5,691.6,748.6,839.1,783.1,899.8,632.9,723.6,645.7,727.3,729.1,790.8,612.1,499.4,750.8,817.3,1093.7,561.3,849.9,904.9,963.2,691.7,877.3,681.4,777.9,618.1,501.2,620.4,747.4,795.4,676.2,719.0,720.0,668.3,731.8,643.0,662.3,811.8,1095.6,852.5,660.8,712.4,598.0,530.5,473.5,641.9,807.5,650.6,836.9,712.4,913.5,853.2,655.2,583.8,723.2,756.8,551.9
COASTAL ANDHRA PRADESH,993.8,1063.6,1316.2,860.2,795.2,1021.5,817.9,842.3,867.6,1254.6,819.5,903.6,841.0,1013.2,1347.4,1351.2,1289.6,778.0,1141.4,723.5,1015.0,853.3,1126.4,1182.0,1238.5,870.7,1053.0,1101.3,859.1,1222.7,1287.1,971.5,1087.3,884.2,751.1,1328.7,892.2,1206.2,1070.3,1069.0,1026.5,879.8,977.9,1155.9,991.5,970.2,1126.2,1024.6,1217.3,986.0,1096.1,916.7,990.0,1153.5,1378.9,1408.5,1017.6,1605.3,1120.7,943.6,1119.2,1345.5,1023.9,1061.0,754.2,954.7,843.1,838.9,1279.7,1064.2,1033.2,1028.5,859.1,944.9,1192.4,1090.3,1132.8,1038.3,934.1,1014.8,929.3,888.5,1196.0,785.2,967.6,1009.7,1079.9,1164.8,1030.0,1611.1,1122.1,1001.0,869.7,1155.1,1352.0,1210.9,972.1,1310.8,825.1,992.3,1009.3,703.2,1096.8,873.6,1221.6,1159.6,1099.2,1107.5,790.5,1712.4,861.9,1318.4,1120.5,874.9,1010.9
KONKAN & GOA,2792.9,2673.9,3084.3,2393.7,1682.8,2418.9,2766.6,2735.5,2860.5,2544.0,2134.7,2793.3,2617.4,3464.6,2525.8,3402.6,3430.9,1867.3,2851.7,1924.1,2899.2,2817.5,2770.5,2444.3,2305.1,3165.9,2747.0,3172.4,2509.4,2845.7,3999.3,2962.9,3343.4,3272.3,2542.7,2783.4,3192.0,3495.5,2758.6,3313.7,1889.6,3279.5,3251.3,2952.1,3244.5,3358.9,3090.1,3119.8,3213.7,2929.2,2849.4,2522.0,3327.8,3790.3,3897.5,3663.7,3123.5,4000.2,3588.6,3027.7,3921.0,3485.1,3606.8,3192.7,3071.5,2427.5,2752.3,2359.4,3127.4,3596.6,2754.0,1873.0,2836.3,3086.7,3515.4,3063.0,3103.3,2885.6,2509.2,2724.3,3124.7,2698.9,3814.5,2583.6,2968.5,2127.7,2635.0,3293.0,2771.5,3568.0,2954.6,2840.4,3480.9,3179.8,2766.0,2920.7,3027.2,3234.7,2912.1,3133.2,2395.4,2537.2,2842.3,2985.9,3615.7,3482.2,3468.5,3053.1,2716.6,3778.1,3825.2,3018.4,3524.0,2757.5,2082.0
UTTARAKHAND,1562.5,1324.2,1306.5,1492.0,1302.1,1537.9,1194.4,1256.2,1717.7,1963.9,1542.9,1394.5,1137.6,1940.9,1601.3,1678.8,2102.9,1215.2,1583.1,1328.4,1848.7,1860.0,1582.9,1927.1,1535.0,1381.2,1649.9,1241.9,1212.2,1271.2,1334.1,1369.6,1595.8,1339.0,1137.2,1912.3,1533.6,1529.3,1142.6,1223.7,1061.6,1711.4,1366.7,1198.9,1648.0,1526.7,1359.8,1535.4,1412.1,1584.1,1174.3,1477.8,1565.8,1862.9,1666.9,1943.0,1780.7,1499.0,1743.0,1540.1,1948.3,1647.4,1802.0,1769.6,1305.7,1465.8,1556.2,1478.6,1635.7,1293.5,1803.8,1077.8,1239.7,1161.8,1580.3,986.3,1416.3,2031.4,1072.3,1333.5,1356.1,1372.1,1525.3,1339.1,1653.7,1514.5,987.3,1602.4,1263.8,1564.9,1020.7,1108.1,1594.1,1441.7,1616.1,1401.4,803.4,1198.6,1185.5,1712.9,1544.4,1574.7,1734.3,1219.6,1348.2,1178.9,1924.3,1363.7,847.8,1424.0,1564.7,1223.9,1735.4,1287.4,1247.6
HIMACHAL PRADESH,1345.1,951.6,993.3,987.6,930.2,1317.5,875.4,987.6,1077.0,1406.9,1333.8,1207.6,1119.3,1735.9,1236.8,1172.1,1703.6,984.7,1213.1,1084.8,1311.2,1718.6,1620.9,1660.7,1509.3,1450.0,1435.0,1308.9,1424.7,1305.5,1266.3,1418.9,1240.4,982.1,1027.9,1158.0,1465.0,927.5,877.8,1088.6,895.5,1328.3,1223.1,1128.8,1646.9,1539.0,1313.2,1758.7,1310.9,1684.4,1238.5,1263.7,1425.7,1717.6,1919.2,1541.6,1822.7,1572.3,1640.3,1115.1,1515.5,1393.5,1354.5,1354.1,1220.4,1371.0,1558.5,1168.2,1127.6,1082.5,1275.1,842.3,955.2,776.1,1054.1,1179.3,1245.0,1371.2,1021.0,1155.0,1147.1,1423.0,1189.6,968.3,1193.9,1322.6,1035.6,1881.1,1177.2,1462.7,1104.8,1383.1,1128.3,1410.2,1493.9,1384.4,1454.5,1381.6,1144.9,1068.4,991.8,990.4,1034.5,878.5,1248.5,1218.4,1034.5,1114.2,956.5,1259.4,1108.3,951.6,1211.9,1008.7,1210.5
BIHAR,952.3,1206.2,1016.3,1269.5,1498.5,1265.1,1126.4,737.5,1390.5,1398.5,1449.2,1129.4,1529.7,1059.8,1349.4,1504.6,1334.1,1411.7,1252.7,1123.9,1272.2,1449.2,982.8,1456.3,1191.5,1121.8,1100.2,1249.8,1359.2,1114.3,1146.3,926.9,1392.6,1226.1,1240.4,1572.5,1306.4,1506.7,1243.2,1088.3,1223.1,1252.5,1169.9,1228.8,1242.9,1393.7,1092.1,1299.2,1444.4,1124.6,850.2,1206.8,1378.7,1050.5,1244.2,1493.4,966.9,1167.4,1179.6,1247.9,1258.1,1178.1,1326.1,1122.5,1002.7,767.0,999.9,1140.1,1288.6,1074.7,1432.6,717.9,1189.0,1235.2,1069.1,1161.7,1147.5,1290.8,1001.9,1252.2,1364.7,933.5,1104.2,1426.2,1455.0,1322.1,1660.4,1337.4,1269.9,1239.4,1045.7,797.6,1208.3,969.4,1111.9,1107.2,1303.7,1332.5,1402.7,1207.0,1247.0,1105.8,1353.9,1147.8,907.8,1052.8,1600.2,1197.7,889.3,629.2,1097.1,1032.4,1069.9,1061.0,872.7
NAGA MANI MIZO TRIPURA,2168.4,2175.0,2230.7,2519.8,2527.6,2514.4,2121.7,2319.3,2308.7,2267.9,2479.8,2308.8,2613.2,2529.2,2819.9,2555.0,2222.2,3013.3,2047.9,2375.8,2638.2,2462.6,2685.5,2701.7,2447.5,2463.2,2887.5,2472.4,2859.4,2487.4,2461.1,2761.7,2451.8,3040.8,2543.3,2917.1,2741.6,2971.6,2608.3,2526.7,2966.2,2680.9,2427.9,2877.3,3051.9,3036.2,3210.2,2822.1,2976.3,2423.0,2609.3,2810.9,2661.6,2905.1,2865.0,3022.7,2303.9,1968.6,2327.6,1799.9,1901.2,1822.5,2970.0,2328.7,2031.0,2478.6,2229.9,2110.0,3610.0,4316.2,3080.7,1353.8,2105.8,2329.6,2209.7,2651.4,2358.5,2150.8,1749.2,2305.0,2072.2,2027.5,2588.0,2454.0,2105.3,2342.3,2361.3,2820.2,2359.0,2582.3,2851.9,2221.4,2881.7,1712.5,2340.2,2194.5,2212.0,2225.4,2233.0,2363.9,2149.0,2242.3,2162.2,2353.7,1836.7,1872.0,2538.2,1748.9,1737.7,2295.2,1892.1,1922.9,1557.2,1599.9,1922.4
JAMMU & KASHMIR,979.9,760.5,1286.6,982.2,1157.7,1193.1,1069.6,1227.3,1339.9,1109.4,1280.2,936.7,1000.2,1692.1,963.9,1034.3,1386.1,916.5,1189.2,889.9,1057.6,890.8,1264.3,1182.2,1013.3,1123.6,973.1,1291.0,1102.7,1168.0,955.0,1039.4,1187.7,803.1,1085.5,1140.8,939.6,1061.7,1003.5,878.3,871.6,1239.8,1167.7,1051.0,856.2,922.3,914.0,1183.1,946.9,1523.1,963.0,1069.6,1229.6,1307.1,1156.4,1520.8,1520.3,1350.4,1550.3,766.4,1138.2,930.3,909.2,946.2,912.6,1378.9,1091.3,1065.6,1095.6,657.0,764.7,1145.6,1100.5,802.6,1180.4,1023.7,955.0,1061.6,1077.4,1017.9,1135.5,1202.2,1485.2,1157.4,1167.1,1521.0,1216.0,1670.9,1216.0,1574.0,1448.8,1478.1,1243.8,1732.5,1619.6,1620.4,1295.9,1325.9,890.3,984.6,952.7,903.5,1311.1,944.9,1692.7,1519.8,1023.5,1224.5,0.0,997.9,887.6,1034.7,859.3,1093.4,1572.8
MADHYA MAHARASHTRA,769.0,784.0,837.9,603.5,537.8,744.3,815.1,722.0,755.2,915.2,544.3,764.9,732.5,1039.0,908.1,1072.4,938.2,438.0,879.1,600.3,734.3,805.2,680.9,748.2,661.8,787.1,925.2,831.7,690.4,929.1,1132.4,1045.1,1152.4,858.3,819.0,735.6,914.4,1126.3,821.9,893.2,774.3,941.3,993.2,1086.0,793.4,1103.6,905.7,1016.3,953.7,932.6,797.0,683.3,893.6,985.1,981.0,1233.8,849.8,1054.1,1118.9,885.9,1070.5,899.0,899.9,945.7,790.7,837.3,913.0,824.0,984.1,941.4,773.2,519.9,980.6,911.8,1040.7,1025.8,947.2,883.6,1026.8,939.5,929.8,751.9,918.8,779.9,656.1,644.1,807.6,976.6,816.6,1022.5,880.5,791.3,1019.8,1021.5,776.4,975.2,1000.9,1101.1,965.7,701.6,785.1,740.3,772.6,1029.5,1221.3,1395.7,1040.4,916.9,941.7,1027.5,852.6,689.8,962.4,838.0,644.5
ARUNACHAL PRADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5486.3,4693.9,4106.7,5691.4,4187.2,3507.5,4450.5,4439.8,3521.6,5253.2,5272.7,4320.2,4334.1,4872.1,4850.9,3773.3,4575.7,4173.7,4788.9,3375.1,6129.0,3898.7,4099.3,4220.2,3828.2,4326.7,3904.3,3649.3,4011.2,4369.1,6331.1,4874.7,0.0,3354.2,2396.1,0.0,0.0,0.0,0.0,0.0,5063.5,4195.5,3709.4,3676.5,0.0,4138.0,4959.3,2196.8,2209.6,1668.5,2139.0,1877.7,1973.4,2184.5,2281.3,2457.5,3063.9,2213.3,2419.5,3774.3,2531.0,2773.6,3215.3,2790.9,2779.5,3335.3,3278.0,3266.2,2495.6,3433.2,4155.3,3281.6,3604.0,3434.4,2707.0,3348.9,2287.4,3068.8,2520.5,2274.9,3616.7,2316.6,2596.8,2036.0,2389.2,2451.8,2545.7,2335.5,2259.6,3020.7,2244.4,1749.9,2855.7,2193.7,3440.3,2042.9,2403.2,2767.5
ORISSA,1284.2,1349.0,1568.3,1514.8,1357.3,1408.2,1447.1,1430.6,1535.5,1598.5,1417.3,1397.2,1544.3,1598.5,1437.1,1479.4,1850.1,1297.4,1758.1,1402.6,1324.0,1466.5,1258.6,1263.4,1807.8,1535.8,1525.5,1585.6,1637.8,1446.4,1477.2,1440.2,1851.0,1488.9,1219.4,1876.0,1567.3,1441.6,1563.4,1687.7,1435.2,1448.3,1586.5,1608.1,1538.6,1614.9,1410.9,1333.8,1348.9,1392.8,1396.2,1516.7,1437.7,1208.0,1597.0,1885.4,1277.5,1624.0,1495.9,1593.0,1945.3,1346.5,1562.0,1354.7,1174.7,1286.8,1427.5,1464.1,1283.2,1412.3,1596.8,1324.9,1573.5,987.0,1392.0,1178.8,1477.9,1439.0,995.9,1462.9,1295.7,1258.5,1432.0,1377.6,1607.3,1560.0,1097.6,1306.9,1299.7,1905.0,1472.8,1329.5,1448.0,1744.6,1614.0,1061.8,1504.5,1357.1,1484.3,1097.2,1672.5,1102.8,1648.2,1290.4,1503.4,1716.9,1633.8,1538.9,1330.3,1291.9,1346.2,1405.9,1632.4,1536.9,1210.1
