STATE/UT,YEAR,TOTAL IPC CRIMES
ANDHRA PRADESH,2001,130089
ARUNACHAL PRADESH,2001,2342
ASSAM,2001,36877
BIHAR,2001,88432
CHHATTISGARH,2001,38460
GOA,2001,2341
GUJARAT,2001,103419
HARYANA,2001,38759
HIMACHAL PRADESH,2001,11499
JAMMU & KASHMIR,2001,19505
JHARKHAND,2001,25447
KARNATAKA,2001,109098
KERALA,2001,103847
MADHYA PRADESH,2001,181741
MAHARASHTRA,2001,171233
MANIPUR,2001,2489
MEGHALAYA,2001,1687
MIZORAM,2001,2246
NAGALAND,2001,1234
ODISHA,2001,46661
PUNJAB,2001,27774
RAJASTHAN,2001,155185
SIKKIM,2001,444
TAMIL NADU,2001,154801
TRIPURA,2001,2801
UTTAR PRADESH,2001,178129
UTTARAKHAND,2001,8073
WEST BENGAL,2001,61563
A & N ISLANDS,2001,658
CHANDIGARH,2001,3397
D & N HAVELI,2001,350
DAMAN & DIU,2001,239
LAKSHADWEEP,2001,36
PUDUCHERRY,2001,4068
ANDHRA PRADESH,2002,143610
ARUNACHAL PRADESH,2002,2228
ASSAM,2002,36346
BIHAR,2002,94040
CHHATTISGARH,2002,37950
GOA,2002,2440
GUJARAT,2002,106675
HARYANA,2002,40152
HIMACHAL PRADESH,2002,12243
JAMMU & KASHMIR,2002,19967
JHARKHAND,2002,31439
KARNATAKA,2002,113699
KERALA,2002,104200
MADHYA PRADESH,2002,191799
MAHARASHTRA,2002,165462
MANIPUR,2002,2584
MEGHALAYA,2002,1664
MIZORAM,2002,2820
NAGALAND,2002,1114
ODISHA,2002,47728
PUNJAB,2002,28794
RAJASTHAN,2002,151248
SIKKIM,2002,485
TAMIL NADU,2002,166942
TRIPURA,2002,3075
UTTAR PRADESH,2002,146037
UTTARAKHAND,2002,7976
WEST BENGAL,2002,58962
A & N ISLANDS,2002,608
CHANDIGARH,2002,3806
D & N HAVELI,2002,349
DAMAN & DIU,2002,261
LAKSHADWEEP,2002,53
PUDUCHERRY,2002,4437
ANDHRA PRADESH,2003,156951
ARUNACHAL PRADESH,2003,2061
ASSAM,2003,38195
BIHAR,2003,92263
CHHATTISGARH,2003,38449
GOA,2003,2244
GUJARAT,2003,103709
HARYANA,2003,38612
HIMACHAL PRADESH,2003,12011
JAMMU & KASHMIR,2003,21233
JHARKHAND,2003,32203
KARNATAKA,2003,112405
KERALA,2003,98824
MADHYA PRADESH,2003,191078
MAHARASHTRA,2003,164306
MANIPUR,2003,2537
MEGHALAYA,2003,1669
MIZORAM,2003,3456
NAGALAND,2003,976
ODISHA,2003,47281
PUNJAB,2003,28756
RAJASTHAN,2003,145579
SIKKIM,2003,443
TAMIL NADU,2003,157186
TRIPURA,2003,3514
UTTAR PRADESH,2003,95073
UTTARAKHAND,2003,7923
WEST BENGAL,2003,61174
A & N ISLANDS,2003,644
CHANDIGARH,2003,2806
D & N HAVELI,2003,338
DAMAN & DIU,2003,269
LAKSHADWEEP,2003,31
PUDUCHERRY,2003,4517
ANDHRA PRADESH,2004,158756
ARUNACHAL PRADESH,2004,2256
ASSAM,2004,40675
BIHAR,2004,108060
CHHATTISGARH,2004,41927
GOA,2004,2127
GUJARAT,2004,105469
HARYANA,2004,39096
HIMACHAL PRADESH,2004,12326
JAMMU & KASHMIR,2004,21191
JHARKHAND,2004,31439
KARNATAKA,2004,114440
KERALA,2004,104025
MADHYA PRADESH,2004,196867
MAHARASHTRA,2004,176302
MANIPUR,2004,2535
MEGHALAYA,2004,1752
MIZORAM,2004,1515
NAGALAND,2004,984
ODISHA,2004,48739
PUNJAB,2004,25630
RAJASTHAN,2004,154859
SIKKIM,2004,631
TAMIL NADU,2004,166606
TRIPURA,2004,3081
UTTAR PRADESH,2004,130181
UTTARAKHAND,2004,8634
WEST BENGAL,2004,69350
A & N ISLANDS,2004,748
CHANDIGARH,2004,2889
D & N HAVELI,2004,409
DAMAN & DIU,2004,198
LAKSHADWEEP,2004,70
PUDUCHERRY,2004,4620
ANDHRA PRADESH,2005,157123
ARUNACHAL PRADESH,2005,2304
ASSAM,2005,42006
BIHAR,2005,97850
CHHATTISGARH,2005,43633
GOA,2005,2119
GUJARAT,2005,113414
HARYANA,2005,42664
HIMACHAL PRADESH,2005,12345
JAMMU & KASHMIR,2005,20115
JHARKHAND,2005,35175
KARNATAKA,2005,117580
KERALA,2005,104350
MADHYA PRADESH,2005,189172
MAHARASHTRA,2005,187027
MANIPUR,2005,2913
MEGHALAYA,2005,1880
MIZORAM,2005,2156
NAGALAND,2005,1049
ODISHA,2005,51685
PUNJAB,2005,27136
RAJASTHAN,2005,140917
SIKKIM,2005,552
TAMIL NADU,2005,162360
TRIPURA,2005,3356
UTTAR PRADESH,2005,122108
UTTARAKHAND,2005,8033
WEST BENGAL,2005,66406
A & N ISLANDS,2005,682
CHANDIGARH,2005,3133
D & N HAVELI,2005,434
DAMAN & DIU,2005,243
LAKSHADWEEP,2005,42
PUDUCHERRY,2005,4575
ANDHRA PRADESH,2006,173909
ARUNACHAL PRADESH,2006,2294
ASSAM,2006,43673
BIHAR,2006,100665
CHHATTISGARH,2006,45177
GOA,2006,2204
GUJARAT,2006,120972
HARYANA,2006,50509
HIMACHAL PRADESH,2006,13093
JAMMU & KASHMIR,2006,20787
JHARKHAND,2006,36364
KARNATAKA,2006,117710
KERALA,2006,105255
MADHYA PRADESH,2006,194711
MAHARASHTRA,2006,191788
MANIPUR,2006,2884
MEGHALAYA,2006,1935
MIZORAM,2006,2073
NAGALAND,2006,1103
ODISHA,2006,52792
PUNJAB,2006,32068
RAJASTHAN,2006,141992
SIKKIM,2006,703
TAMIL NADU,2006,148972
TRIPURA,2006,3940
UTTAR PRADESH,2006,127001
UTTARAKHAND,2006,8412
WEST BENGAL,2006,68052
A & N ISLANDS,2006,676
CHANDIGARH,2006,3126
D & N HAVELI,2006,435
DAMAN & DIU,2006,288
LAKSHADWEEP,2006,80
PUDUCHERRY,2006,4687
ANDHRA PRADESH,2007,175087
ARUNACHAL PRADESH,2007,2286
ASSAM,2007,45282
BIHAR,2007,109420
CHHATTISGARH,2007,45845
GOA,2007,2479
GUJARAT,2007,123195
HARYANA,2007,51597
HIMACHAL PRADESH,2007,14222
JAMMU & KASHMIR,2007,21443
JHARKHAND,2007,38489
KARNATAKA,2007,120606
KERALA,2007,108530
MADHYA PRADESH,2007,202386
MAHARASHTRA,2007,195707
MANIPUR,2007,3259
MEGHALAYA,2007,2079
MIZORAM,2007,2083
NAGALAND,2007,1180
ODISHA,2007,54872
PUNJAB,2007,35793
RAJASTHAN,2007,148870
SIKKIM,2007,667
TAMIL NADU,2007,172754
TRIPURA,2007,4273
UTTAR PRADESH,2007,150258
UTTARAKHAND,2007,9599
WEST BENGAL,2007,81102
A & N ISLANDS,2007,807
CHANDIGARH,2007,3643
D & N HAVELI,2007,425
DAMAN & DIU,2007,260
LAKSHADWEEP,2007,56
PUDUCHERRY,2007,5054
ANDHRA PRADESH,2008,179275
ARUNACHAL PRADESH,2008,2374
ASSAM,2008,53333
BIHAR,2008,122669
CHHATTISGARH,2008,51442
GOA,2008,2742
GUJARAT,2008,123808
HARYANA,2008,55344
HIMACHAL PRADESH,2008,13976
JAMMU & KASHMIR,2008,20604
JHARKHAND,2008,38686
KARNATAKA,2008,127540
KERALA,2008,110620
MADHYA PRADESH,2008,206556
MAHARASHTRA,2008,206243
MANIPUR,2008,3349
MEGHALAYA,2008,2318
MIZORAM,2008,1989
NAGALAND,2008,1202
ODISHA,2008,56755
PUNJAB,2008,35314
RAJASTHAN,2008,151174
SIKKIM,2008,730
TAMIL NADU,2008,176833
TRIPURA,2008,5336
UTTAR PRADESH,2008,168996
UTTARAKHAND,2008,8856
WEST BENGAL,2008,105419
A & N ISLANDS,2008,882
CHANDIGARH,2008,3931
D & N HAVELI,2008,401
DAMAN & DIU,2008,248
LAKSHADWEEP,2008,95
PUDUCHERRY,2008,4989
ANDHRA PRADESH,2009,180441
ARUNACHAL PRADESH,2009,2362
ASSAM,2009,55313
BIHAR,2009,122931
CHHATTISGARH,2009,51370
GOA,2009,3005
GUJARAT,2009,115183
HARYANA,2009,56229
HIMACHAL PRADESH,2009,13315
JAMMU & KASHMIR,2009,21975
JHARKHAND,2009,37436
KARNATAKA,2009,134042
KERALA,2009,118369
MADHYA PRADESH,2009,207762
MAHARASHTRA,2009,199598
MANIPUR,2009,2852
MEGHALAYA,2009,2448
MIZORAM,2009,2047
NAGALAND,2009,1059
ODISHA,2009,55740
PUNJAB,2009,35545
RAJASTHAN,2009,166565
SIKKIM,2009,669
TAMIL NADU,2009,174691
TRIPURA,2009,5486
UTTAR PRADESH,2009,172884
UTTARAKHAND,2009,8802
WEST BENGAL,2009,113036
A & N ISLANDS,2009,941
CHANDIGARH,2009,3555
D & N HAVELI,2009,442
DAMAN & DIU,2009,276
LAKSHADWEEP,2009,134
PUDUCHERRY,2009,4591
ANDHRA PRADESH,2010,181438
ARUNACHAL PRADESH,2010,2439
ASSAM,2010,61668
BIHAR,2010,127453
CHHATTISGARH,2010,54958
GOA,2010,3293
GUJARAT,2010,116439
HARYANA,2010,59120
HIMACHAL PRADESH,2010,13049
JAMMU & KASHMIR,2010,23223
JHARKHAND,2010,38889
KARNATAKA,2010,142322
KERALA,2010,148313
MADHYA PRADESH,2010,214269
MAHARASHTRA,2010,208168
MANIPUR,2010,2715
MEGHALAYA,2010,2505
MIZORAM,2010,2174
NAGALAND,2010,1059
ODISHA,2010,56459
PUNJAB,2010,36648
RAJASTHAN,2010,162957
SIKKIM,2010,552
TAMIL NADU,2010,185678
TRIPURA,2010,5805
UTTAR PRADESH,2010,174179
UTTARAKHAND,2010,9240
WEST BENGAL,2010,129616
A & N ISLANDS,2010,980
CHANDIGARH,2010,3373
D & N HAVELI,2010,378
DAMAN & DIU,2010,203
LAKSHADWEEP,2010,42
PUDUCHERRY,2010,3935
ANDHRA PRADESH,2011,189780
ARUNACHAL PRADESH,2011,2286
ASSAM,2011,66714
BIHAR,2011,135896
CHHATTISGARH,2011,57218
GOA,2011,3449
GUJARAT,2011,123371
HARYANA,2011,60741
HIMACHAL PRADESH,2011,14312
JAMMU & KASHMIR,2011,24504
JHARKHAND,2011,35838
KARNATAKA,2011,137600
KERALA,2011,172137
MADHYA PRADESH,2011,217094
MAHARASHTRA,2011,204902
MANIPUR,2011,3218
MEGHALAYA,2011,2755
MIZORAM,2011,1821
NAGALAND,2011,1083
ODISHA,2011,61277
PUNJAB,2011,34883
RAJASTHAN,2011,165622
SIKKIM,2011,596
TAMIL NADU,2011,192879
TRIPURA,2011,5803
UTTAR PRADESH,2011,195135
UTTARAKHAND,2011,8774
WEST BENGAL,2011,143197
A & N ISLANDS,2011,793
CHANDIGARH,2011,3542
D & N HAVELI,2011,372
DAMAN & DIU,2011,224
LAKSHADWEEP,2011,44
PUDUCHERRY,2011,4362
ANDHRA PRADESH,2012,192522
ARUNACHAL PRADESH,2012,2420
ASSAM,2012,77682
BIHAR,2012,146614
CHHATTISGARH,2012,54598
GOA,2012,3608
GUJARAT,2012,130121
HARYANA,2012,62480
HIMACHAL PRADESH,2012,12557
JAMMU & KASHMIR,2012,24608
JHARKHAND,2012,40946
KARNATAKA,2012,134021
KERALA,2012,158989
MADHYA PRADESH,2012,220335
MAHARASHTRA,2012,202700
MANIPUR,2012,3737
MEGHALAYA,2012,2557
MIZORAM,2012,1766
NAGALAND,2012,1090
ODISHA,2012,67957
PUNJAB,2012,35790
RAJASTHAN,2012,170948
SIKKIM,2012,528
TAMIL NADU,2012,200474
TRIPURA,2012,6264
UTTAR PRADESH,2012,198093
UTTARAKHAND,2012,8882
WEST BENGAL,2012,161427
A & N ISLANDS,2012,683
CHANDIGARH,2012,3606
D & N HAVELI,2012,318
DAMAN & DIU,2012,239
LAKSHADWEEP,2012,60
PUDUCHERRY,2012,4281
ANDHRA PRADESH,2013,218015
ARUNACHAL PRADESH,2013,2776
ASSAM,2013,87186
BIHAR,2013,167455
CHHATTISGARH,2013,56870
GOA,2013,4312
GUJARAT,2013,157435
HARYANA,2013,72098
HIMACHAL PRADESH,2013,13750
JAMMU & KASHMIR,2013,25390
JHARKHAND,2013,48208
KARNATAKA,2013,136689
KERALA,2013,176334
MADHYA PRADESH,2013,227453
MAHARASHTRA,2013,234385
MANIPUR,2013,3178
MEGHALAYA,2013,3259
MIZORAM,2013,1709
NAGALAND,2013,1216
ODISHA,2013,71718
PUNJAB,2013,36667
RAJASTHAN,2013,196224
SIKKIM,2013,851
TAMIL NADU,2013,203579
TRIPURA,2013,6210
UTTAR PRADESH,2013,226445
UTTARAKHAND,2013,9546
WEST BENGAL,2013,169535
A & N ISLANDS,2013,612
CHANDIGARH,2013,4077
D & N HAVELI,2013,314
DAMAN & DIU,2013,246
LAKSHADWEEP,2013,40
PUDUCHERRY,2013,3756
ANDHRA PRADESH,2014,114604
ARUNACHAL PRADESH,2014,2843
ASSAM,2014,94337
BIHAR,2014,177595
CHHATTISGARH,2014,58200
GOA,2014,4466
GUJARAT,2014,131385
HARYANA,2014,79947
HIMACHAL PRADESH,2014,14160
JAMMU & KASHMIR,2014,23848
JHARKHAND,2014,45335
KARNATAKA,2014,137338
KERALA,2014,206789
MADHYA PRADESH,2014,272423
MAHARASHTRA,2014,249834
MANIPUR,2014,3641
MEGHALAYA,2014,3679
MIZORAM,2014,2140
NAGALAND,2014,1157
ODISHA,2014,74569
PUNJAB,2014,37162
RAJASTHAN,2014,210418
SIKKIM,2014,1065
TAMIL NADU,2014,193200
TELANGANA,2014,106830
TRIPURA,2014,5499
UTTAR PRADESH,2014,240475
UTTARAKHAND,2014,9156
WEST BENGAL,2014,193048
A & N ISLANDS,2014,746
CHANDIGARH,2014,3221
D & N HAVELI,2014,277
DAMAN & DIU,2014,233
LAKSHADWEEP,2014,81
PUDUCHERRY,2014,3584
