Name,City,State/UT,IATA code,FY 2018-19,FY 2017-18,FY 2016-17,FY 2015-16,FY 2014-15,FY 2013-14,FY 2012-13,FY 2011-12,FY 2010-11,FY 2009-10,FY 2008-09,FY 2007-08,FY 2006-07
Indira Gandhi International Airport,Delhi,Delhi,DEL,69233864,65691662,57703096,48424165,40895555,36876986,34368411,35881965,29942887,26124695,22843415,23971662,20443444
Chhatrapati Shivaji Maharaj International Airport,Mumbai,Maharashtra,BOM,48815063,48496430,45154345,41670351,37694824,32221395,30207514,30747841,29071913,25606739,23435723,25864753,22248929
Kempegowda International Airport,Bengaluru,Karnataka,BLR,33307702,26910431,22881392,18971149,15401392,12868830,11993887,0,0,0,0,0,0
Chennai International Airport,Chennai,Tamil Nadu,MAA,22543822,20361482,17718017,15218017,14299200,12896055,12776760,12925218,12049679,10531285,9843190,10659754,8974126
Netaji Subhas Chandra Bose International Airport,Kolkata,West Bengal,CCU,21877350,19892524,15819539,12761007,10916699,10100232,10068655,10303991,9631672,8045724,6989919,7459232,6002263
Rajiv Gandhi International Airport,Hyderabad,Telangana,HYD,21403972,18156789,15102672,12388159,10404353,8653784,8300469,8444431,7602998,6512913,6215540,6985048,5743687
Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,AMD,11172468,9174425,7405282,6480111,5050433,4564225,4162747,4695115,4043473,3525997,2825939,3163647,2518465
Cochin International Airport,Kochi,Kerala,COK,10119825,10172839,8955441,7749901,6414135,5383463,4880773,0,0,0,0,0,0
Pune Airport,Pune,Maharashtra,PNQ,9070917,8164840,6787391,5417167,4190509,3596684,0,3293146,2808939,2251376,1771062,1679409,1573962
Dabolim Airport,Dabolim,Goa,GOI,8467326,7607249,6856362,5375555,4513201,3999535,3542747,0,0,0,0,0,0
Lokpriya Gopinath Bordoloi International Airport,Guwahati,Assam,GAU,5745628,4668053,3789656,2784315,2233601,2196545,2076938,2244684,1934750,1590257,1373540,1347485,1078103
Chaudhary Charan Singh Airport,Lucknow,Uttar Pradesh,LKO,5532819,4752921,3968950,3241892,2541241,2312291,2022414,2018554,1575878,1186310,817288,701765,612557
Jaipur International Airport,Jaipur,Rajasthan,JAI,5471223,4757178,3783458,2887189,2197959,1981936,1802469,1828304,1655212,1523267,1204340,1339391,791097
Trivandrum International Airport,Thiruvananthapuram,Kerala,TRV,4434459,4393469,3881509,3470788,3174018,2934434,2839083,0,0,0,0,0,0
Biju Patnaik Airport,Bhubaneswar,Odisha,BBI,4158731,3250635,2332433,1894732,1493356,1335832,1389552,1253263,1044860,825958,671861,702201,351336
Jaya Prakash Narayan Airport,Patna,Bihar,PAT,4061990,3111273,2112150,1584013,1196540,1044127,1003169,1021544,838509,552440,344446,387303,311171
Calicut International Airport,Kozhikode,Kerala,CCJ,3360847,3139432,2651088,2305547,2583740,2455579,2273703,0,0,0,0,0,0
Devi Ahilyabai Holkar International Airport,Indore,Madhya Pradesh,IDR,3158938,2269971,1784073,1692892,1353300,1114980,1083663,1112834,879279,708438,599136,548711,358496
Coimbatore International Airport,Coimbatore,Tamil Nadu,CJB,3000882,2403935,2104904,1691553,1429198,1244300,1297804,1345381,1243823,1109337,1010817,1062805,866969
Bagdogra Airport,Siliguri,West Bengal,IXB,2898784,2255768,1524516,1087239,1035887,721365,666052,0,0,0,0,0,0
Visakhapatnam Airport,Visakhapatnam,Andhra Pradesh,VTZ,2853390,2480379,2358029,1804634,1099480,1012522,1037608,958160,711566,631063,598769,502203,320337
Dr. Babasaheb Ambedkar International Airport,Nagpur,Maharashtra,NAG,2801910,2186137,1891475,1595241,1401147,1263837,1262921,1415739,1236732,816685,801055,865209,662583
Lal Bahadur Shastri Airport,Varanasi,Uttar Pradesh,VNS,2785015,2087581,1916454,1383962,1019973,826282,808497,747811,556851,480937,400775,448863,350012
Sheikh ul-Alam International Airport,Srinagar,Jammu and Kashmir,SXR,2737560,2440467,2101762,2310829,2040808,2003186,1861691,1632098,1039505,926520,733089,779709,707903
Sri Guru Ram Dass Jee International Airport,Amritsar,Punjab,ATQ,2523794,2319955,1566407,1250370,1083684,1031821,895425,892104,765194,702404,572598,677768,596328
Birsa Munda Airport,Ranchi,Jharkhand,IXR,2254108,1778349,1035740,739961,653832,517006,463738,491418,363441,273763,247349,244018,145575
Mangalore International Airport,Mangalore,Karnataka,IXE,2240664,2269949,1734810,1674251,1307083,1283667,1043386,891122,845700,837367,692803,713667,482668
Chandigarh International Airport,Chandigarh,Chandigarh,IXC,2097698,2137739,1825881,1534058,1206292,1050397,881555,802059,645226,470304,364167,229608,154705
Swami Vivekananda Airport,Raipur,Chhattisgarh,RPR,2028548,1628134,1396179,1206844,925504,839534,810435,802583,532736,436620,401655,414856,246038
Veer Savarkar International Airport,Port Blair,Andaman and Nicobar Islands,IXZ,1711881,1549951,1238331,871318,815873,757009,703483,0,0,0,0,0,0
Tiruchirappalli International Airport,Tiruchirappalli,Tamil Nadu,TRZ,1578831,1513273,1359447,1297212,1189218,1015825,870030,0,0,0,0,0,0
Madurai International Airport,Madurai,Tamil Nadu,IXM,1520016,1442807,978919,842300,687221,670516,558502,511737,388574,366308,352881,366493,265421
Agartala Airport,Agartala,Tripura,IXA,1441089,1379090,1183867,921591,879182,824496,791105,0,0,0,371854,406776,324674
Maharana Pratap Airport,Udaipur,Rajasthan,UDR,1392210,1147067,1089899,711187,457942,435197,360320,370934,368493,362528,259689,290780,236715
Jammu Airport,Jammu,Jammu and Kashmir,IXJ,1334313,1443965,1159937,1117252,952641,845555,862083,888595,692034,519116,401954,546679,473764
Imphal Airport,Imphal,Manipur,IMF,1277163,987506,886338,766877,612188,628766,672872,727579,564211,410136,321083,320808,214689
Jolly Grant Airport,Dehradun,Uttarakhand,DED,1240173,1124937,882564,471542,378646,306832,0,0,0,0,0,0,0
Surat International Airport,Surat,Gujarat,STV,1238724,681465,194564,94824,0,0,0,0,0,0,0,0,0
Vijayawada Airport,Vijayawada,Andhra Pradesh,VGA,1192000,746392,622354,398643,233617,0,0,0,0,0,0,0,0
Vadodara Airport,Vadodara,Gujarat,BDQ,1155716,1008506,1103981,931092,712447,686235,676090,669931,598335,500852,444573,501744,404260
Tirupati Airport,Tirupati,Andhra Pradesh,TIR,834652,584732,486029,371060,245049,272095,286548,240681,173862,157791,155046,169333,152967
Leh Kushok Bakula Rimpochee Airport,Leh,Jammu and Kashmir,IXL,821689,692010,563800,408541,403243,330001,0,373420,261645,233030,198790,176400,140609
Raja Bhoj Airport,Bhopal,Madhya Pradesh,BHO,810307,722243,676015,662615,416284,429680,492347,422595,321940,258715,229714,218359,169131
Jodhpur Airport,Jodhpur,Rajasthan,JDH,506826,469239,350583,301859,295863,303678,260649,214827,183457,0,83593,166954,0
Hubli Airport,Hubli,Karnataka,HBX,460462,49227,0,0,0,0,0,0,0,0,0,0,0
Rajahmundry Airport,Rajahmundry,Andhra Pradesh,RJA,440429,268001,261348,223903,0,0,0,0,0,0,0,0,0
Silchar Airport,Silchar,Assam,IXS,386665,366955,212228,200855,0,0,218735,209317,158354,151871,143434,147298,116590
Dibrugarh Airport,Dibrugarh,Assam,DIB,367929,336851,305796,319646,319260,246068,230761,231870,233038,182505,0,0,127485
Aurangabad Airport,Aurangabad,Maharashtra,IXU,347781,344180,326971,301046,426855,447917,439275,404192,271832,224507,194096,197820,170632
Rajkot Airport,Rajkot,Gujarat,RAJ,334068,365427,405518,413207,351343,306441,283291,261363,234475,186910,128466,154310,160711
